Level_1,Level_2,Level_3,Level_4,Level_5,Level_6
clothing & accessories,clothing accessories,girls' accessories,belts,,
clothing & accessories,clothing accessories,girls' accessories,scarves,,
clothing & accessories,clothing accessories,girls' accessories,sunglasses,,
clothing & accessories,clothing accessories,girls' accessories,,,
clothing & accessories,clothing accessories,boys' accessories,ties,,
clothing & accessories,clothing accessories,boys' accessories,suspenders,,
clothing & accessories,clothing accessories,boys' accessories,wallets,,
clothing & accessories,clothing accessories,boys' accessories,gloves & mittens,,
clothing & accessories,clothing accessories,boys' accessories,hats,,
clothing & accessories,clothing accessories,boys' accessories,scarves,,
clothing & accessories,clothing accessories,boys' accessories,belts,,
clothing & accessories,clothing accessories,boys' accessories,sunglasses,,
clothing & accessories,clothing accessories,boys' accessories,,,
clothing & accessories,clothing accessories,,,,
clothing & accessories,shoes & footwear,women's shoes,boots,,
clothing & accessories,shoes & footwear,women's shoes,heels,,
clothing & accessories,shoes & footwear,women's shoes,fashion sneakers,,
clothing & accessories,shoes & footwear,women's shoes,slippers,,
clothing & accessories,shoes & footwear,women's shoes,sandals,,
clothing & accessories,shoes & footwear,women's shoes,flats,,
clothing & accessories,shoes & footwear,women's shoes,athletic shoes,,
clothing & accessories,shoes & footwear,women's shoes,,,
clothing & accessories,shoes & footwear,men's shoes,sandals,,
clothing & accessories,shoes & footwear,men's shoes,casual & dress shoes,,
clothing & accessories,shoes & footwear,men's shoes,boots,,
clothing & accessories,shoes & footwear,men's shoes,athletic shoes,,
clothing & accessories,shoes & footwear,men's shoes,slippers,,
clothing & accessories,shoes & footwear,men's shoes,fashion sneakers,,
clothing & accessories,shoes & footwear,men's shoes,,,
clothing & accessories,shoes & footwear,kids' shoes,boys' baby shoes,,
clothing & accessories,shoes & footwear,baby shoes,boys' baby shoes,,
clothing & accessories,shoes & footwear,kids' shoes,girls' baby shoes,,
clothing & accessories,shoes & footwear,baby shoes,girls' baby shoes,,
clothing & accessories,shoes & footwear,kids' shoes,,,
clothing & accessories,shoes & footwear,baby shoes,,,
clothing & accessories,shoes & footwear,,,,
clothing & accessories,clothing,women's clothing,tops,tops & t-shirts,
clothing & accessories,clothing,women's clothing,"tights, socks & hosiery",socks,
clothing & accessories,clothing,women's clothing,"tights, socks & hosiery",leg warmers,
clothing & accessories,clothing,women's clothing,"tights, socks & hosiery",pantyhose & tights,
clothing & accessories,clothing,women's clothing,"tights, socks & hosiery",stockings & thigh-highs,
clothing & accessories,clothing,women's clothing,"tights, socks & hosiery",,
clothing & accessories,clothing,women's clothing,tops,sweatshirts & hoodies,
